EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,10,MINIMAL,SMALL,False,False,1,False,1531,3,1,0.0,nan,20.0,0.0,30.0,10.0,60.0,40.0,120.0,100.0
1,10,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,20.0,0.0,130.0,30.0,70.0,50.0,140.0,120.0,280.0,260.0
1,10,MINIMAL,LARGE,False,False,1,False,1531,3,3,40.0,10.0,210.0,190.0,290.0,270.0,610.0,580.0,1190.0,1140.0
1,10,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,0.0,nan,20.0,0.0,30.0,10.0,60.0,40.0,110.0,90.0
1,10,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,20.0,nan,130.0,30.0,70.0,50.0,140.0,120.0,280.0,250.0
1,10,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,40.0,0.0,210.0,180.0,290.0,260.0,610.0,560.0,1190.0,1110.0
1,10,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,0.0,nan,30.0,0.0,40.0,10.0,100.0,40.0,200.0,100.0
1,10,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,20.0,nan,130.0,30.0,110.0,50.0,240.0,120.0,480.0,250.0
1,10,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,40.0,10.0,360.0,190.0,500.0,260.0,1050.0,570.0,2070.0,1130.0
1,20,MINIMAL,SMALL,False,False,1,False,1531,3,1,0.0,nan,40.0,10.0,60.0,20.0,120.0,90.0,240.0,200.0
1,20,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,40.0,0.0,260.0,70.0,140.0,100.0,290.0,250.0,570.0,520.0
1,20,MINIMAL,LARGE,False,False,1,False,1531,3,3,80.0,30.0,430.0,380.0,580.0,540.0,1220.0,1160.0,2380.0,2290.0
1,20,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,0.0,nan,40.0,10.0,60.0,20.0,120.0,80.0,230.0,190.0
1,20,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,40.0,nan,260.0,60.0,140.0,100.0,290.0,240.0,570.0,500.0
1,20,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,80.0,10.0,430.0,370.0,580.0,520.0,1220.0,1130.0,2380.0,2230.0
1,20,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,0.0,nan,60.0,10.0,90.0,20.0,200.0,90.0,400.0,200.0
1,20,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,40.0,nan,260.0,70.0,230.0,100.0,490.0,250.0,970.0,510.0
1,20,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,90.0,20.0,730.0,380.0,1000.0,530.0,2110.0,1150.0,4140.0,2260.0
