EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,10,MINIMAL,SMALL,False,False,1,False,1531,3,1,0.0,0.0,10.0,0.0,20.0,0.0,40.0,20.0,80.0,70.0
1,10,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,10.0,10.0,30.0,20.0,50.0,30.0,100.0,80.0,190.0,170.0
1,10,MINIMAL,LARGE,False,False,1,False,1531,3,3,40.0,10.0,160.0,130.0,210.0,190.0,440.0,410.0,870.0,820.0
1,10,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,0.0,0.0,10.0,0.0,20.0,0.0,40.0,20.0,80.0,60.0
1,10,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,10.0,10.0,30.0,10.0,40.0,30.0,100.0,80.0,190.0,170.0
1,10,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,40.0,0.0,160.0,130.0,210.0,180.0,440.0,400.0,870.0,800.0
1,10,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,0.0,0.0,11.180339887498949,0.0,20.0,0.0,40.0,20.0,80.0,60.0
1,10,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,10.0,0.0,30.0,10.0,40.0,30.0,100.0,80.0,190.0,170.0
1,10,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,40.0,10.0,160.0,130.0,210.0,190.0,440.0,410.0,870.0,810.0
1,20,MINIMAL,SMALL,False,False,1,False,1531,3,1,0.0,0.0,30.0,0.0,40.0,10.0,90.0,50.0,170.0,140.0
1,20,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,20.0,20.0,70.0,40.0,100.0,60.0,200.0,160.0,380.0,350.0
1,20,MINIMAL,LARGE,False,False,1,False,1531,3,3,80.0,30.0,320.0,270.0,430.0,380.0,890.0,830.0,1740.0,1650.0
1,20,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,0.0,0.0,30.0,0.0,40.0,10.0,90.0,50.0,170.0,130.0
1,20,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,20.0,20.0,70.0,30.0,90.0,60.0,200.0,160.0,380.0,340.0
