Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,MINIMAL
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
1,10.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
1,10.0,0.0,13,M1,R2,True,4599136.010844586,1000000.0,2,True
1,10.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
1,10.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
1,10.0,0.0,13,R1,S1,True,4567327.146216803,500000.0,2,True
1,10.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
1,10.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
1,10.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
1,10.0,0.0,13,R3,A1,True,4661894.881523294,500000.0,2,True
1,10.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
1,10.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
1,10.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
2,20.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
2,20.0,0.0,13,M1,R2,True,4597708.59076085,1000000.0,2,True
2,20.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
2,20.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
2,20.0,0.0,13,R1,S1,True,4565866.4218019545,500000.0,2,True
2,20.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
2,20.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
2,20.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
2,20.0,0.0,13,R3,A1,True,4660532.530857982,500000.0,2,True
2,20.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
2,20.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
2,20.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
3,30.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
3,30.0,0.0,13,M1,R2,True,4596279.6690354515,1000000.0,2,True
3,30.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
3,30.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
3,30.0,0.0,13,R1,S1,True,4564404.13019024,500000.0,2,True
3,30.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
3,30.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
3,30.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
3,30.0,0.0,13,R3,A1,True,4659168.805209665,500000.0,2,True
3,30.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
3,30.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
3,30.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
4,40.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
4,40.0,0.0,13,M1,R2,True,4594849.242696455,1000000.0,2,True
4,40.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
4,40.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
4,40.0,0.0,13,R1,S1,True,4562940.26821321,500000.0,2,True
4,40.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
4,40.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
4,40.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
4,40.0,0.0,13,R3,A1,True,4657803.7019822495,500000.0,2,True
4,40.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
4,40.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
4,40.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
5,50.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
5,50.0,0.0,13,M1,R2,True,4593417.308762953,1000000.0,2,True
5,50.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
5,50.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
5,50.0,0.0,13,R1,S1,True,4561474.832692666,500000.0,2,True
5,50.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
5,50.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
5,50.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
5,50.0,0.0,13,R3,A1,True,4656437.21857218,500000.0,2,True
5,50.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
5,50.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
5,50.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
6,60.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
6,60.0,0.0,13,M1,R2,True,4591983.864245042,1000000.0,2,True
6,60.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
6,60.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
6,60.0,0.0,13,R1,S1,True,4560007.820440615,500000.0,2,True
