Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,ALL_CONNECT
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v4.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
1,10.0,0.0,13,S1,R1,True,4613940.647122787,375000.0,2,True
1,10.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
1,10.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
1,10.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
1,10.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
1,10.0,0.0,13,R2,M1,True,4629771.505045729,1000000.0,2,True
1,10.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
1,10.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
1,10.0,0.0,13,R3,A1,True,4678065.080408956,375000.0,2,True
1,10.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
1,10.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
1,10.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
1,10.0,0.0,13,R1,R3,True,4806877.557993527,500000.0,2,True
1,10.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
1,10.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
1,10.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
2,20.0,0.0,13,S1,R1,True,4612483.557598469,375000.0,2,True
2,20.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
2,20.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
2,20.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
2,20.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
2,20.0,0.0,13,R2,M1,True,4628329.961531233,1000000.0,2,True
2,20.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
2,20.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
2,20.0,0.0,13,R3,A1,True,4676671.7788911145,375000.0,2,True
2,20.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
2,20.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
2,20.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
2,20.0,0.0,13,R1,R3,True,4805452.191494498,500000.0,2,True
2,20.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
2,20.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
2,20.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
3,30.0,0.0,13,S1,R1,True,4611024.995184347,375000.0,2,True
3,30.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
3,30.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
3,30.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
3,30.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
3,30.0,0.0,13,R2,M1,True,4626886.975543266,1000000.0,2,True
3,30.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
3,30.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
3,30.0,0.0,13,R3,A1,True,4675277.130966516,375000.0,2,True
3,30.0,0.0,13,R3,A2,True,9535269.066764606,375000.0,3,False
3,30.0,0.0,13,R4,A3,True,10321968.332108954,375000.0,1,False
3,30.0,0.0,13,R4,A4,True,9260064.984862918,375000.0,4,False
3,30.0,0.0,13,R1,R3,True,4804025.414854994,500000.0,2,True
3,30.0,0.0,13,R2,R4,True,9421028.64854633,500000.0,4,False
3,30.0,0.0,13,R1,R2,True,8696235.996662019,500000.0,3,False
3,30.0,0.0,13,R3,R4,True,9482933.348104246,500000.0,1,False
4,40.0,0.0,13,S1,R1,True,4609564.956912325,375000.0,2,True
4,40.0,0.0,13,S2,R1,True,9535269.066764606,375000.0,3,False
4,40.0,0.0,13,S3,R2,True,10321968.332108954,375000.0,1,False
4,40.0,0.0,13,S4,R2,True,9260064.984862918,375000.0,4,False
4,40.0,0.0,13,R1,M1,True,10321968.332108954,1000000.0,1,False
4,40.0,0.0,13,R2,M1,True,4625442.544202918,1000000.0,2,True
4,40.0,0.0,13,M1,R3,True,9260064.98486292,1000000.0,4,False
4,40.0,0.0,13,M1,R4,True,9535269.066764606,1000000.0,3,False
4,40.0,0.0,13,R3,A1,True,4673881.134043056,375000.0,2,True
