Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,25.0
relay_connectivity_config,MINIMAL
ew_location,"(1050.0, 0.0)"
ew_strength_factor,100000.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(1000.0, 0.0)"
step_size_m,10.0
max_steps,200
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,4

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible,ew_effect
1,10.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
1,10.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
1,10.0,0.0,10,M1,R3,False,908540.8909274684,1000000.0,4,True,0.09145910907253149
1,10.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
1,10.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
1,10.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
1,10.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
1,10.0,0.0,10,R2,S4,True,903509.553982757,500000.0,4,True,0.09649044601724299
1,10.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
1,10.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
1,10.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
1,10.0,0.0,10,R4,A4,True,911456.8201988451,500000.0,4,True,0.08854317980115485
2,20.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
2,20.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
2,20.0,0.0,10,M1,R3,False,886239.0690979791,1000000.0,4,True,0.11376093090202094
2,20.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
2,20.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
2,20.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
